 Elevation, residuals, C/No Max, C/No Min, C/No Delta, MaxCno2Second, Delta Carrier phase, deltaCorrected PR, 2nd delta,PS Residual, Los Value
79,-12843133.07,44,43,-1,44,18189.9,15.89,0.04,7.72,LOS
79,-12861338.86,44,43,-1,44,18189.95,15.85,0.04,7.72,LOS
79,-12879544.67,44,43,-1,44,18190.09,15.72,0.13,7.73,LOS
79,-12897750.54,44,43,-1,44,18190.25,15.55,0.17,7.79,LOS
79,-12915956.31,44,43,-1,44,18190.29,15.51,0.03,7.78,LOS
12,-13009569.82,44,43,-1,43,17645.2,560.47,-0.11,95.06,LOS
12,-13027775.21,44,43,-1,44,17645.29,560.05,0.42,95.25,LOS
12,-13045980.67,44,43,-1,44,17645.34,560.24,-0.19,95.21,LOS
12,-13064186.02,44,43,-1,44,17645.31,560.31,-0.07,95.07,LOS
12,-13082391.53,44,43,-1,44,17645.57,560.12,0.19,95.07,LOS
12,-13100597.04,44,43,-1,44,17645.7,560.69,-0.57,94.48,LOS
12,-13118802.42,44,43,-1,44,17645.71,560.47,0.21,94.06,LOS
12,-13137007.84,44,43,-1,44,17645.89,560.39,0.08,93.68,LOS
79,-13225451.07,44,43,-1,45,18192.01,13.51,0.33,7,LOS
79,-13243656.73,44,43,-1,44,18192.24,13.26,0.25,7.16,LOS
79,-13261862.16,44,43,-1,44,18192.13,13.06,0.19,7.39,LOS
79,-13280067.5,44,43,-1,44,18192.15,13.33,-0.27,7.24,LOS
79,-13298273.04,44,43,-1,44,18192.46,12.73,0.61,7.58,LOS
79,-13316478.44,44,43,-1,44,18192.43,13.05,-0.32,7.49,LOS
79,-13334683.93,44,43,-1,44,18192.62,12.55,0.5,7.78,LOS
12,-13355470.79,44,43,-1,43,17645.9,559.29,0.46,90.33,LOS
79,-13352889.51,44,43,-1,44,18192.85,12.64,-0.09,7.86,LOS
12,-13373676.4,44,43,-1,44,17646.05,559.42,-0.13,90.44,LOS
79,-13371095.34,44,43,-1,44,18193.21,12.57,0.07,7.9,LOS
12,-13391882.3,44,43,-1,44,17646.33,559.4,0.02,90.54,LOS
42,-13394371.13,44,43,-1,43,17834.7,371.09,0.02,49.37,LOS
12,-13410088.32,44,43,-1,44,17646.47,559.24,0.16,90.76,LOS
56,-13553197.63,44,43,-1,43,18606.16,399.61,0.22,18.64,NLOS
12,-13428294.4,44,43,-1,44,17646.53,560.64,-1.4,89.54,LOS
56,-13571402.99,44,43,-1,44,18606.28,398.4,-1.21,16.7,NLOS
56,-13589608.4,44,43,-1,44,18606.32,400.34,1.95,16.61,NLOS
56,-13753461.99,44,43,-1,45,18607.1,401.19,0.42,18.33,NLOS
56,-13771667.98,44,43,-1,45,18607.39,401.57,0.38,18.52,NLOS
12,-13683182.53,44,43,-1,45,17646.83,559.02,-0.03,96.77,LOS
12,-13701388.04,44,43,-1,44,17646.69,558.84,0.17,96.79,LOS
12,-13719593.72,44,43,-1,44,17646.91,558.94,-0.1,96.66,LOS
12,-13737799.44,44,43,-1,44,17647.02,558.86,0.08,96.59,LOS
79,-13808039.57,44,43,-1,43,18195.83,11.13,-1.46,11.82,LOS
79,-13826245.23,44,43,-1,44,18195.92,9.54,1.59,11.99,LOS
79,-13844451,44,43,-1,44,18196.14,9.32,0.22,12.26,LOS
79,-13862656.76,44,43,-1,44,18196.25,9.21,0.11,12.52,LOS
79,-13880862.26,44,43,-1,44,18196.13,9.36,-0.14,12.53,LOS
79,-13899067.91,44,43,-1,44,18196.41,8.79,0.56,12.98,LOS
79,-13917273.63,44,43,-1,44,18196.6,8.9,-0.11,13.21,LOS
46,-13903573.47,44,43,-1,43,18549.82,344.32,0.34,122.37,NLOS
79,-13935479.28,44,43,-1,44,18196.62,8.86,0.04,13.36,LOS
46,-13921778.52,44,43,-1,44,18550.08,344.59,0.26,121.93,NLOS
79,-13953684.43,44,43,-1,44,18196.23,9.24,-0.38,13.02,LOS
46,-13939982.37,44,43,-1,44,18549.03,343.53,-1.06,120.28,NLOS
79,-13971889.57,44,43,-1,44,18196.31,8.84,0.4,12.95,LOS
79,-13990094.73,44,43,-1,44,18196.44,8.7,0.14,12.92,LOS
79,-14008299.53,44,43,-1,44,18196.19,8.65,0.05,12.82,LOS
79,-14026506.73,44,43,-1,44,18196.22,9.82,-1.17,13.93,LOS
79,-14044711.76,44,43,-1,44,18196.19,7.45,2.37,15.26,LOS
79,-14062916.39,44,43,-1,44,18196.38,7.87,-0.42,15.59,LOS
79,-14081120.82,44,43,-1,44,18196.3,8.26,-0.39,15.42,LOS
79,-14099325.42,44,43,-1,44,18196.62,7.97,0.29,15.42,LOS
79,-14117530.15,44,43,-1,44,18196.87,7.42,0.54,15.86,LOS
79,-14135734.55,44,43,-1,44,18196.67,7.93,-0.5,15.67,LOS
79,-14153938.78,44,43,-1,44,18196.6,7.7,0.23,15.59,LOS
79,-14172143,44,43,-1,44,18196.75,7.88,-0.18,15.22,LOS
46,-14395073.38,44,43,-1,45,18551.61,347.92,-0.06,104.47,NLOS
79,-14426995.02,44,43,-1,43,18197.67,6.03,0.03,13.07,LOS
46,-14413274.82,44,43,-1,44,18550.33,346.63,-1.28,102.21,NLOS
79,-14445198.41,44,43,-1,44,18197.64,5.77,0.26,13.07,LOS
46,-14431475.72,44,43,-1,44,18549.93,346.53,-0.1,99.71,NLOS
79,-14463401.8,44,43,-1,44,18197.76,5.66,0.11,13.06,LOS
46,-14449676.01,44,43,-1,44,18549.47,346.08,-0.45,96.61,NLOS
79,-14481605.16,44,43,-1,44,18197.86,5.57,0.08,13.03,LOS
46,-14467877.95,44,43,-1,44,18551.25,347.85,1.78,95.14,NLOS
79,-14499808.45,44,43,-1,44,18197.88,5.53,0.04,12.91,LOS
46,-14486079.7,44,43,-1,44,18551.21,347.81,-0.04,93.5,NLOS
79,-14518011.82,44,43,-1,44,18198.08,5.03,0.51,13.19,LOS
79,-14536215.07,44,43,-1,44,18198.06,5.34,-0.31,13.04,LOS
79,-14554418.46,44,43,-1,44,18198.32,4.78,0.56,13.33,LOS
79,-14572621.99,44,43,-1,44,18198.55,4.83,-0.05,13.46,LOS
79,-14590825.1,44,43,-1,44,18198.25,5.12,-0.3,13.18,LOS
42,-14668728.1,44,43,-1,43,17836.4,366.57,0.31,72.25,LOS
12,-15503568.97,44,43,-1,43,17648.29,555.35,-0.47,84,LOS
12,-15521772.55,44,43,-1,44,17648.43,554.9,0.45,84.18,LOS
12,-15539976.22,44,43,-1,44,17648.55,554.78,0.12,84.44,LOS
12,-15558179.83,44,43,-1,44,17648.54,555.09,-0.31,84.36,LOS
56,-15956126.39,44,43,-1,43,18615.85,412.73,0.06,5.81,NLOS
56,-15974329.84,44,43,-1,44,18615.94,413.13,0.4,6.17,NLOS
43,-15833732.27,44,43,-1,43,17840.26,362.68,0.31,60.16,NLOS
56,-15992533.2,44,43,-1,44,18615.91,412.83,-0.31,6.13,NLOS
56,-16010736.49,44,43,-1,44,18615.92,413.16,0.33,6.32,NLOS
56,-16028939.69,44,43,-1,44,18615.92,413.45,0.3,6.72,NLOS
45,-15942344.31,44,43,-1,43,18561.4,358.3,1.12,91.4,NLOS
45,-15960544.79,44,43,-1,44,18561.42,358.62,0.32,89.09,NLOS
80,-16083493.64,44,43,-1,45,18207.47,4.86,0.05,12.99,LOS
80,-16101696.26,44,43,-1,44,18207.53,4.64,-0.22,12.82,LOS
80,-16119898.93,44,43,-1,44,18207.68,5.1,0.47,12.99,LOS
80,-16138101.69,44,43,-1,44,18207.88,5.3,0.2,13.25,LOS
80,-16156304.5,44,43,-1,44,18208.02,5.17,-0.14,13.26,LOS
80,-16174507.25,44,43,-1,44,18208.07,5.53,0.36,13.51,LOS
12,-16249893.05,44,43,-1,45,17648.91,553.66,0.01,86.3,LOS
12,-16268095.43,44,43,-1,44,17648.95,553.64,0.02,86.18,LOS
12,-16286297.88,44,43,-1,44,17649.05,553.54,0.1,86.13,LOS
12,-16304500.31,44,43,-1,44,17649.04,553.51,0.02,86.05,LOS
12,-16322702.72,44,43,-1,44,17649.03,553.2,0.31,86.26,LOS
12,-16340905.09,44,43,-1,44,17649.01,553.5,-0.29,86.13,LOS
12,-16359107.62,44,43,-1,44,17649.19,553.3,0.2,86.16,LOS
12,-16377309.9,44,43,-1,44,17648.97,553.22,0.08,86.23,LOS
12,-16395512.06,44,43,-1,44,17648.9,553.59,-0.38,85.89,LOS
12,-16431908.54,44,43,-1,44,17649.33,558.99,-4.58,78.87,LOS
12,-16450114.19,44,43,-1,44,17648.85,553.71,5.29,82.92,LOS
45,-16470215.66,44,43,-1,46,18563.87,365.27,15.11,82.81,NLOS
45,-16488422.68,44,43,-1,45,18572.04,371.34,6.07,89.14,NLOS
45,-16506625.69,44,43,-1,44,18568.15,366.85,-4.48,90.84,NLOS
54,-330385.66,44,43,-1,43,18637.33,437.57,-0.71,-13.47,NLOS
54,-348586.23,44,43,-1,44,18637.45,437.7,0.12,-12.7,NLOS
54,-366785.73,44,43,-1,44,18637.4,437.64,-0.05,-13,NLOS
52,-688126.67,44,43,-1,43,17933.03,266.4,0.24,32.36,NLOS
52,-706328.83,44,43,-1,44,17935.46,266.92,-0.52,32.02,NLOS
52,-724530.48,44,43,-1,44,17934.08,267.09,-0.17,32.39,NLOS
52,-742730.37,44,43,-1,44,17932.96,266.74,0.35,32.48,NLOS
52,-815512.16,44,43,-1,44,17909.77,267.56,-0.51,33.08,NLOS
52,-833723.69,44,43,-1,44,17944.15,267.04,0.52,33.42,NLOS
52,-851924.67,44,43,-1,44,17934.26,267,0.04,33.12,NLOS
52,-870140.69,44,43,-1,44,17948.33,267.29,-0.29,33.45,NLOS
52,-942933.19,44,43,-1,45,17920.49,267.26,0.47,33.36,NLOS
52,-961059.31,44,43,-1,44,17859.69,266.36,0.9,33.44,NLOS
52,-979259.95,44,43,-1,44,17934.55,268,-1.64,31.59,NLOS
52,-1925723.08,44,43,-1,43,17934.96,265.35,0.08,28.39,NLOS
52,-1943922.84,44,43,-1,44,17934.99,265.32,0.02,27.76,NLOS
52,-1962122.93,44,43,-1,44,17935.07,265.57,-0.25,27.15,NLOS
52,-1980322.94,44,43,-1,44,17935.08,264.42,1.15,27.67,NLOS
52,-2289636.11,44,43,-1,43,17935.4,265.26,-0.1,28.28,NLOS
52,-2307836.51,44,43,-1,44,17935.36,265.29,-0.03,27.99,NLOS
52,-2326038.66,44,43,-1,44,17935.32,268.64,-3.35,26.14,NLOS
52,-2344239.01,44,43,-1,44,17935.39,264.38,4.26,26.71,NLOS
52,-2362440,44,43,-1,44,17935.5,264.88,-0.49,27.3,NLOS
52,-2380640.35,44,43,-1,44,17935.45,264.93,-0.06,27.25,NLOS
52,-2398840.67,44,43,-1,44,17935.46,264.63,0.3,27.48,NLOS
52,-2417041.68,44,43,-1,44,17935.41,267.38,-2.75,25.7,NLOS
52,-2435241.96,44,43,-1,44,17935.48,264.61,2.77,25.89,NLOS
52,-2453443.18,44,43,-1,44,17935.57,264.51,0.1,27.02,NLOS
52,-2471643.85,44,43,-1,44,17935.39,265.28,-0.78,26.99,NLOS
52,-2489843.94,44,43,-1,44,17935.35,265.62,-0.34,26.09,NLOS
52,-2508044.64,44,43,-1,44,17935.43,265.24,0.38,26.09,NLOS
52,-2526242.78,44,43,-1,44,17932.99,265.59,-0.35,25.64,NLOS
52,-2544443.65,44,43,-1,44,17935.74,265.27,0.32,25.51,NLOS
42,-4301996.01,44,43,-1,43,18619.26,423.36,-1.81,51.05,NLOS
42,-4320109.33,44,43,-1,44,18535.81,422.05,-1.31,50.61,NLOS
42,-4338364.66,44,43,-1,44,18681.37,425.21,3.16,49.77,NLOS
42,-4356499.65,44,43,-1,44,18558.35,423.9,-1.3,50.32,NLOS
42,-4374755.62,44,43,-1,44,18683.18,427.02,3.12,50.13,NLOS
42,-4392951.1,44,43,-1,44,18621.73,425.53,-1.49,49.4,NLOS
42,-4411086.04,44,43,-1,44,18559.66,424.32,-1.22,49,NLOS
42,-4429281.22,44,43,-1,44,18621.82,424.72,0.4,47.08,NLOS
42,-4447476.8,44,43,-1,44,18622.11,426.5,1.78,47.06,NLOS
42,-10627101.06,47,43,-4,49,17825.68,382.41,-3.22,56.43,LOS
46,-10407994.7,57,43,6,44,18503.73,297.94,17.35,58.67,NLOS
8,-241914.89,44,44,0,44,17611.19,585.92,-0.26,92.54,LOS
8,-933165.4,44,44,0,44,17555.62,581.51,1.96,91.06,LOS
8,-951358.49,44,44,0,44,17609.51,583.37,-1.86,91.24,LOS
66,-948020.21,44,44,0,45,18588.69,339.69,0.75,-23.1,NLOS
8,-969607.61,44,44,0,44,17663.45,585.51,-2.15,91.39,LOS
8,-987744.62,44,44,0,44,17555.34,582.1,3.42,90.96,LOS
8,-1005936.63,44,44,0,44,17609.4,583.81,-1.71,89.76,LOS
8,-1278814.27,44,44,0,44,17609.67,582.97,-0.22,93.55,LOS
65,-1504703.93,44,44,0,44,18533.88,341.87,0.56,-20.4,NLOS
65,-1522895.96,44,44,0,44,18534.07,342.15,0.28,-20.38,NLOS
8,-1926520.06,44,44,0,45,17610.45,581.59,0.01,84.12,LOS
65,-1923132.51,44,44,0,45,18536.5,344.12,-0.25,-22.65,NLOS
8,-1944712.18,44,44,0,45,17610.44,581.9,-0.31,83.93,LOS
8,-2017481.67,44,44,0,44,17611.08,581.23,0.32,84.78,LOS
8,-2090254.34,44,44,0,45,17612.07,580.8,0.31,86.41,LOS
8,-2144835.8,44,44,0,44,17612.57,581.21,-0.12,87.05,LOS
44,-2153055.53,44,44,0,44,17876.47,317.64,-0.03,566.55,NLOS
78,-4271035.44,44,44,0,44,18126.16,69.93,-0.01,10.91,NLOS
78,-4289231.66,44,44,0,44,18126.45,69.66,0.27,10.92,NLOS
78,-4307427.63,44,44,0,44,18126.35,69.49,0.17,10.99,NLOS
78,-4325623.23,44,44,0,44,18126.11,69.75,-0.26,10.69,NLOS
78,-4343819.29,44,44,0,44,18126.7,69.18,0.57,10.84,NLOS
78,-4362015.85,44,44,0,44,18127.35,68.86,0.32,11.2,NLOS
78,-4380211.5,44,44,0,44,18126.55,69.37,-0.51,10.94,NLOS
78,-4398406.62,44,44,0,44,18126.17,69.17,0.19,10.77,NLOS
11,-10187628.75,44,44,0,44,17641.26,565.39,-0.2,87.15,LOS
42,-10918359.11,44,44,0,43,17826.15,378.16,0.24,26.24,LOS
11,-11188960.99,44,44,0,45,17641.68,566.11,0.78,68.32,LOS
57,-11350288.51,44,44,0,44,18594.25,388.61,-0.04,8.58,NLOS
57,-11677987.24,44,44,0,44,18596.25,400.61,12.84,12.85,NLOS
56,-11932871.37,44,44,0,45,18597.14,393.08,0.68,19.11,NLOS
12,-12372367.35,44,44,0,44,17644.52,559.22,-1.22,105.78,LOS
12,-12463403.48,44,44,0,45,17644.88,561.44,4.93,106.61,LOS
79,-12934161.84,44,44,0,44,18190.14,15.35,0.16,7.81,LOS
79,-13207245.55,44,44,0,45,18191.99,13.84,0.14,6.98,LOS
12,-13664976.85,44,44,0,45,17646.84,558.99,0.16,96.89,LOS
46,-14376870.51,44,44,0,45,18551.38,347.98,-0.39,105.3,NLOS
79,-14609028.24,44,44,0,44,18198.39,4.68,0.44,13.22,LOS
12,-15794818.82,44,44,0,45,17648.43,554.76,-0.22,82.72,LOS
12,-15813021.9,44,44,0,45,17648.7,554.79,-0.04,82.4,LOS
45,-15978744.99,44,44,0,44,18561.28,358.48,-0.14,86.49,NLOS
80,-16065290.97,44,44,0,45,18207.4,4.81,0.21,12.83,LOS
80,-16192710.13,44,44,0,44,18208.32,5.48,-0.05,13.6,LOS
80,-16210912.85,44,44,0,44,18208.27,5.43,-0.05,13.52,LOS
12,-16231690.65,44,44,0,45,17649.17,553.67,-0.14,86.4,LOS
12,-16468317.57,44,44,0,44,17649.14,563.91,-10.21,72.1,LOS
12,-16486519.17,44,44,0,44,17649.3,554.57,9.35,70.59,LOS
52,-760931.94,44,44,0,44,17934.19,267.06,-0.32,32.76,NLOS
52,-779133.43,44,44,0,44,17934.16,267.42,-0.36,32.65,NLOS
52,-797334.66,44,44,0,44,17933.96,267.05,0.37,32.89,NLOS
52,-924744.98,44,44,0,45,17948.16,267.73,-0.52,32.96,NLOS
42,-4465672.05,44,44,0,44,18621.81,425.61,-0.89,46.1,NLOS
8,3481866.91,45,44,-1,45,17607.43,585.43,1283642080,-1287598711,LOS
8,-41784.88,45,44,-1,45,3523066.61,1287598218,1287598803,92.32,LOS
8,-59975.25,45,44,-1,45,17605.28,586.15,-1287598804,91.29,LOS
8,-78165.77,45,44,-1,45,17604.33,586.88,-0.73,90.69,LOS
8,-96357,45,44,-1,45,17605.85,584.74,2.14,91.41,LOS
38,-244409.94,45,44,-1,46,17781.02,416.16,-0.3,54.93,LOS
38,-262606.17,45,44,-1,46,17780.62,416.57,-0.41,54.07,LOS
49,-262012.91,45,44,-1,46,18422.85,227.24,-2.07,111.62,LOS
49,-280205.31,45,44,-1,46,18422.69,227.39,0.15,108.72,LOS
49,-298399.28,45,44,-1,45,18424.12,230.01,2.62,108.59,LOS
66,-329563.06,45,44,-1,45,18598.32,349.58,16.69,-14.11,NLOS
49,-316659.31,45,44,-1,45,18494.13,245.47,15.45,119.95,LOS
66,-347685.8,45,44,-1,45,18460.68,323.77,-25.81,-28.22,NLOS
66,-365878.74,45,44,-1,45,18530.7,339.23,15.46,-26.68,NLOS
66,-384072.07,45,44,-1,45,18530.67,337.71,-1.53,-26.25,NLOS
66,-402264.55,45,44,-1,45,18529.88,336.91,-0.8,-26.68,NLOS
66,-420457.47,45,44,-1,45,18529.72,336.78,-0.13,-26.66,NLOS
66,-875249.13,45,44,-1,46,18513.15,338.5,0.18,-22.56,NLOS
66,-893441.79,45,44,-1,45,18531.36,338.71,0.21,-22.5,NLOS
66,-911579.24,45,44,-1,45,18475.13,337.93,-0.78,-22.2,NLOS
66,-929771.72,45,44,-1,45,18531.89,338.94,1.01,-22.63,NLOS
38,-1081203.54,45,44,-1,44,17780.2,412.74,-0.34,51.95,LOS
38,-1099394.84,45,44,-1,45,17780.18,411.86,0.88,51.24,LOS
8,-1297005.18,45,44,-1,44,17609.23,583.4,-0.43,91.85,LOS
8,-1315197.95,45,44,-1,45,17609.91,582.72,0.67,92.01,LOS
8,-1333389.18,45,44,-1,45,17610.03,582.6,0.12,90.63,LOS
8,-1351580.56,45,44,-1,45,17609.39,582.93,-0.33,89.7,LOS
8,-1369772.36,45,44,-1,45,17609.82,582.2,0.73,89.49,LOS
8,-1387963.05,45,44,-1,45,17610.38,581.94,0.26,87.87,LOS
8,-1398933.74,45,44,-1,45,10620.08,350.84,231.1,87.66,LOS
8,-1417127.24,45,44,-1,45,17610.84,581.78,-230.94,88.55,LOS
65,-1541088.32,45,44,-1,44,18534.45,342.29,0.14,-20.32,NLOS
65,-1559280.9,45,44,-1,45,18534.73,342.6,0.31,-20.04,NLOS
65,-1577473.52,45,44,-1,45,18534.86,342.44,-0.17,-20.03,NLOS
65,-1595666.27,45,44,-1,45,18535.19,342.67,0.24,-19.89,NLOS
65,-1613858.95,45,44,-1,45,18535.24,342.7,0.03,-19.81,NLOS
65,-1632051.35,45,44,-1,45,18535.21,342.52,-0.18,-20.02,NLOS
65,-1650243.64,45,44,-1,45,18535.19,342.22,-0.31,-20.63,NLOS
65,-1668435.77,45,44,-1,45,18535.11,342.75,0.53,-20.81,NLOS
65,-1686628.2,45,44,-1,45,18535.41,342.85,0.1,-20.99,NLOS
65,-1704820.87,45,44,-1,45,18535.75,343.2,0.35,-20.92,NLOS
65,-1723013.63,45,44,-1,45,18535.95,343.08,-0.12,-21.07,NLOS
65,-1741206.5,45,44,-1,45,18536.19,343.29,0.21,-21.1,NLOS
8,-1799172.52,45,44,-1,46,17611.41,582.07,0.13,85.14,LOS
8,-1817365.7,45,44,-1,46,17611.21,581.97,0.09,85.12,LOS
44,-1807394.25,45,44,-1,44,17873.14,4823.78,5143.71,568.05,NLOS
8,-1835558.47,45,44,-1,45,17610.84,582.36,-0.38,84.67,LOS
44,-1825586.17,45,44,-1,45,17872.67,320.08,-5143.86,567.36,NLOS
8,-1853750.65,45,44,-1,45,17610.31,582.31,0.05,84.24,LOS
65,-1850363.61,45,44,-1,46,18536.5,343.84,0.5,-22.32,NLOS
44,-1843778.44,45,44,-1,45,17873.14,319.63,0.45,567.03,NLOS
8,-1871943.21,45,44,-1,45,17610.72,581.9,0.41,84.19,LOS
65,-1868555.76,45,44,-1,46,18536.23,343.57,-0.27,-22.78,NLOS
8,-1890135.4,45,44,-1,45,17610.4,582.23,-0.33,83.78,LOS
65,-1886748.27,45,44,-1,45,18536.64,344.33,0.76,-22.57,NLOS
8,-1908327.89,45,44,-1,45,17610.73,581.6,0.62,83.96,LOS
65,-1904940.41,45,44,-1,45,18536.42,344.37,0.03,-22.44,NLOS
44,-1916546.02,45,44,-1,46,17873.1,319.56,-0.34,565.4,NLOS
8,-2035674.54,45,44,-1,44,17611.32,581.28,-0.05,85.05,LOS
8,-2053867.5,45,44,-1,45,17611.43,581.17,0.12,85.39,LOS
8,-2072060.78,45,44,-1,45,17611.79,581.11,0.06,85.76,LOS
65,-2068674.35,45,44,-1,44,18538.64,345.75,0.37,-20.45,NLOS
65,-2086868.06,45,44,-1,45,18538.9,345.43,-0.33,-20.25,NLOS
8,-2163030.04,45,44,-1,44,17612.9,580.89,0.32,87.48,LOS
8,-2181224.42,45,44,-1,45,17613.1,581.01,-0.12,87.75,LOS
44,-2171250.05,45,44,-1,44,17876.82,317.58,0.06,566.67,NLOS
8,-2199419.07,45,44,-1,45,17613.41,581,0.01,88,LOS
39,-2201923.81,45,44,-1,44,17786.15,408.28,0.01,60.48,LOS
44,-2189444.52,45,44,-1,45,17876.85,317.84,-0.27,566.43,NLOS
39,-2220118.37,45,44,-1,45,17786.15,408.59,-0.31,60.33,LOS
44,-2207638.91,45,44,-1,45,17876.87,317.52,0.32,566.43,NLOS
39,-2238312.85,45,44,-1,45,17786.14,408.31,0.28,60.41,LOS
44,-2225833.49,45,44,-1,45,17877.17,317.55,-0.03,566.3,NLOS
44,-2244028.15,45,44,-1,45,17877.34,317.69,-0.13,565.96,NLOS
44,-2262222.7,45,44,-1,45,17877.35,317.4,0.29,565.81,NLOS
44,-2280417.16,45,44,-1,45,17877.38,317.7,-0.31,565.27,NLOS
44,-2298611.58,45,44,-1,45,17877.44,317.65,0.05,564.68,NLOS
44,-2316806.17,45,44,-1,45,17877.68,317.09,0.56,564.57,NLOS
44,-2335000.72,45,44,-1,45,17877.68,317.35,-0.26,564.11,NLOS
44,-2353195.16,45,44,-1,45,17877.64,317.36,-0.01,563.55,NLOS
44,-2371389.51,45,44,-1,45,17877.62,317.06,0.3,563.2,NLOS
44,-2389583.6,45,44,-1,45,17877.45,316.94,0.13,562.89,NLOS
44,-2407777.86,45,44,-1,45,17877.71,316.68,0.25,562.74,NLOS
44,-2425972.62,45,44,-1,45,17878.31,316.38,0.3,562.81,NLOS
44,-2444167.01,45,44,-1,45,17878.02,316.67,-0.29,562.49,NLOS
44,-2462361.15,45,44,-1,45,17877.88,316.52,0.16,562.23,NLOS
44,-2480555.66,45,44,-1,45,17878.33,316.37,0.15,562.03,NLOS
44,-2498749.79,45,44,-1,45,17878.04,316.36,0.01,561.76,NLOS
44,-2516943.33,45,44,-1,45,17877.57,316.56,-0.2,561.2,NLOS
44,-2535136.75,45,44,-1,45,17877.56,316.28,0.27,560.82,NLOS
8,-3072728.46,45,44,-1,46,17613.98,579.84,0.01,84.4,LOS
8,-3090922.22,45,44,-1,45,17614.17,579.35,0.49,84.65,LOS
8,-3109116.03,45,44,-1,45,17614.25,579.57,-0.22,84.66,LOS
8,-3127310.15,45,44,-1,45,17614.59,579.54,0.04,84.66,LOS
8,-3145504.49,45,44,-1,45,17614.85,578.98,0.56,85.19,LOS
8,-3163698.77,45,44,-1,45,17614.82,579.31,-0.33,85.36,LOS
40,-3475524.51,45,44,-1,44,17791.43,404.15,0.23,61.88,LOS
9,-3927890.47,45,44,-1,46,17617.43,577.88,0.34,87.96,LOS
9,-3946086.22,45,44,-1,45,17617.73,578.18,-0.3,87.8,LOS
9,-3964282.16,45,44,-1,45,17617.97,578.25,-0.07,87.54,LOS
9,-3982478.31,45,44,-1,45,17618.21,577.71,0.54,87.78,LOS
9,-4000674.45,45,44,-1,45,17618.22,577.99,-0.28,87.71,LOS
9,-4018870.65,45,44,-1,45,17618.31,577.59,0.4,88,LOS
9,-4037066.91,45,44,-1,45,17618.4,578.1,-0.51,87.75,LOS
9,-4055263.08,45,44,-1,45,17618.35,577.85,0.25,87.72,LOS
9,-4073459.16,45,44,-1,45,17618.3,577.9,-0.05,87.6,LOS
9,-4091655.26,45,44,-1,45,17618.34,577.86,0.04,87.49,LOS
40,-4367105.84,45,44,-1,46,17794.7,401.24,0.56,63.15,LOS
40,-4385302.39,45,44,-1,45,17795.3,400.92,0.31,63.49,LOS
40,-4403498.01,45,44,-1,45,17794.44,401.49,-0.57,63.21,LOS
40,-5167670.81,45,44,-1,44,17795.23,399.34,-0.27,98.02,LOS
40,-5185864.62,45,44,-1,45,17795.7,398.6,0.74,98.03,LOS
40,-5204058.66,45,44,-1,45,17796.01,399.21,-0.62,97.36,LOS
40,-5222252.92,45,44,-1,45,17796.29,398.93,0.28,96.91,LOS
40,-5240447.08,45,44,-1,45,17796.28,398.96,-0.03,96.38,LOS
40,-5258641.5,45,44,-1,45,17796.57,398.96,0,95.79,LOS
40,-5276836.04,45,44,-1,45,17796.75,398.76,0.19,95.33,LOS
40,-5295030.65,45,44,-1,45,17796.86,398.63,0.13,94.94,LOS
40,-5313225.62,45,44,-1,45,17797.23,398.52,0.11,94.6,LOS
40,-5331420.72,45,44,-1,45,17797.38,398.63,-0.11,94.09,LOS
40,-5349615.81,45,44,-1,45,17797.44,398.27,0.36,93.88,LOS
40,-5367811.07,45,44,-1,45,17797.64,398.35,-0.08,93.54,LOS
40,-5386006.45,45,44,-1,45,17797.78,398.17,0.18,93.31,LOS
40,-5404201.88,45,44,-1,45,17797.87,398.35,-0.18,92.84,LOS
40,-5422397.33,45,44,-1,45,17797.9,397.97,0.38,92.69,LOS
40,-5440593.56,45,44,-1,45,17798.6,397.74,0.23,92.71,LOS
40,-5458789.43,45,44,-1,45,17798.27,398.03,-0.29,92.38,LOS
40,-5476985.24,45,44,-1,45,17798.3,398.03,0,91.99,LOS
40,-5495180.92,45,44,-1,45,17798.25,397.79,0.24,91.77,LOS
40,-5513376.66,45,44,-1,45,17798.38,397.99,-0.19,91.3,LOS
79,-9438521.17,45,44,-1,45,18170.72,37.76,-0.59,13.1,NLOS
79,-9657035.1,45,44,-1,45,18172.39,36.39,0.06,14.6,LOS
79,-9675243.36,45,44,-1,45,18172.23,36.23,0.16,14.37,LOS
79,-9693451.58,45,44,-1,45,18172.3,35.87,0.36,14.39,LOS
79,-9711659.81,45,44,-1,45,18172.44,35.73,0.14,14.43,LOS
79,-9729868,45,44,-1,45,18172.49,35.37,0.36,14.72,LOS
79,-9748075.97,45,44,-1,45,18172.38,35.77,-0.4,14.49,LOS
79,-9766283.82,45,44,-1,45,18172.36,35.47,0.3,14.45,LOS
79,-9784491.75,45,44,-1,45,18172.54,34.98,0.49,14.79,LOS
79,-9802700.36,45,44,-1,45,18172.75,33.88,1.1,16.7,LOS
79,-9857329.23,45,44,-1,45,18173.77,38,-10.42,20.99,LOS
79,-9875535.86,45,44,-1,45,18173.41,39.6,-1.6,16.12,LOS
10,-9969139.57,45,44,-1,46,17641.73,571.88,-7.69,87.66,LOS
10,-9987346.82,45,44,-1,45,17641.83,567.32,4.56,86.71,LOS
10,-10005554.33,45,44,-1,45,17641.75,566.72,0.6,86.32,LOS
