UTC Time, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, HDOP, Lat, Lon, Alt (Elipsoide), Alt (AMSL), Speed, Course, Estimated Horizontal Positioning Error, Estimated Vertical Positioning Error, Estimated Horizontal Velocity Error, Clock Bias, Clock Bias Error, Clock Drift, Clock Drift Error, EXTENDED GPS Week, GPS TOW, SVs number, Clock Drift 7, Clock Bias 7, Estimated GPS Time, PRN, GPS Software Time, Azimuth, Elevation, State, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, Pseudorange, C/No 1, C/No 2,  C/No 3, C/No 4, C/No 5, C/No 6, C/No 7, C/No 8, C/No 9, C/No 10, Carrier Frequency, Carrier Phase, Delta Range Interval, Mean Delta Range Time, Clock Bias, Clock Drift, Ionospheric Delay, Filtered C/No Max, Filtered C/No Min, Filtered C/No Delta, Check
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,25,225881.42549374548,156.0,89.0,165,1.616241487770925E7,1.338736958457927E7,1.6278335678857103E7,533.8559800033108,2010.7308229625598,-2154.1372208970406,2.1107976121838998E7,0,0,0,0,46,46,46,46,46,46,18163.936,2.1107980309891257E7,0.0,0.0,-3.7996653724220745E-5,-4.1033127E-12,0.0,46,0,46,End,
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,29,225881.42549374548,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,2.1631632376897573E7,0,0,0,0,50,50,50,50,50,50,18145.25,2.1631636372997433E7,0.0,0.0,0.0,0.0,0.0,50,0,50,End,
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,31,225881.42549374548,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,1.8113525787006803E7,0,0,0,0,0,0,0,0,36,36,17934.971,1.8113526554816384E7,0.0,0.0,0.0,0.0,0.0,36,0,36,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,2,225882.42096429778,66.0,60.0,165,-3479749.534180994,1.5447096070814162E7,2.1681041441514462E7,-2635.144240434195,-464.80550359612477,-138.14270807094465,1.8144769189079557E7,0,42,42,42,42,42,42,42,43,43,18742.311,1.8144772234142553E7,0.0,0.0,5.710869637448002E-4,6.0257407E-12,0.0,43,0,43,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,5,225882.42096429778,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,2.353442567025106E7,0,0,0,45,45,45,45,45,45,45,18071.492,2.353443061738779E7,0.0,0.0,0.0,0.0,0.0,45,0,45,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,70,225882.42096429778,158.0,27.0,37,1.701618625549325E7,1.6161433715555899E7,-9937015.756741997,-1029.843794511108,-913.8501690222347,-3266.642150587063,2.2952620220395625E7,34,34,34,34,34,33,33,33,33,33,19016.699,2.2952620220395625E7,0.0,0.0,0.0,0.0,0.0,34,33,-1,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,71,225882.42096429778,0.0,0.0,0,2974741.689284521,1.049766077496349E7,2.3062059684185762E7,-2779.794622299404,1500.3622488036838,-316.94045742512765,2.1938291832646534E7,0,0,0,0,0,0,0,0,0,0,18626.543,2.1938291832646534E7,0.0,0.0,2.342735828632012E-5,1.8189894E-12,0.0,46,46,0,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,73,225882.42096429778,0.0,0.0,0,-1868183.1778116222,2.520481244884398E7,3636081.5994031006,172.5884664515851,-490.5340625157897,3525.5060729005595,2.379126745041189E7,0,0,0,0,0,0,0,0,0,0,17728.658,2.379126745041189E7,0.0,0.0,1.3713625671142235E-4,1.8189894E-12,0.0,44,44,0,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,74,225882.42096429778,303.0,50.0,37,2.0635174003494676E7,-3299917.871506385,1.4579443585688341E7,-1821.171485479232,825.5075055789106,2780.64542070716,2.155030920569132E7,53,52,52,52,52,52,52,52,52,52,18041.842,2.155030920569132E7,0.0,0.0,0.0,0.0,0.0,52,52,0,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,12,225882.42096429778,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,2.2325772530263793E7,45,45,45,45,45,45,44,44,44,44,18578.928,2.2325782232584856E7,0.0,0.0,0.0,0.0,0.0,45,44,1,End,
